,Postal Code,Latitude,Longitude
139,506930,1.37785629605717,103.957089619973
140,506931,1.36579413482343,103.967222276302
141,506936,1.38978751196204,103.986282784032
142,506938,1.38703893341622,103.985927650768
143,506939,1.38715797163785,103.986514161227
144,506940,1.36544265584473,103.974999151677
145,506941,1.35736420475575,103.963972049935
146,506942,1.35729365157103,103.964225292376
147,506943,1.35729365157103,103.964225292376
148,506944,1.35729365157103,103.964225292376
149,506945,1.35722108540727,103.963520543288
150,506946,1.35798179113245,103.963687713357
151,506947,1.35797801043471,103.963675952865
152,506948,1.35797801043471,103.963675952865
153,506949,1.35797801043471,103.963675952865
154,506950,1.35797801043471,103.963675952865
155,506951,1.35834234109182,103.964400016572
156,506952,1.3578012149241,103.964498095261
157,506953,1.3626921146535,103.973373260805
158,506954,1.36269978603958,103.973288224759
